trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20110104,601398.SH,2.559,2.565,2.5228,2.559,2.559,0.0,0.0,492010.81,207611.087,0.0188,0.49,,,,,,,,,,,,,,
20110105,601398.SH,2.5469,2.559,2.5167,2.5288,2.559,-0.030200000000000227,-1.1801,671859.71,282113.467,0.0256,0.7,,,,,,,,,,,,,,
20110106,601398.SH,2.5228,2.5409,2.5047,2.5107,2.5288,-0.018100000000000005,-0.7158,575097.95,240061.289,0.0219,0.59,,,,,,,,,,,,,,
20110107,601398.SH,2.5167,2.5952,2.4926,2.5952,2.5107,0.08450000000000024,3.3656,1913270.64,812543.351,0.073,1.88,,,,,,,,,,,,,,
20110110,601398.SH,2.571,2.6012,2.5529,2.559,2.5952,-0.03620000000000001,-1.3949,1128704.46,480637.189,0.043,1.18,2.5505,956188.714,,,,,,,,,,,,
20110111,601398.SH,2.559,2.5831,2.5529,2.571,2.559,0.01200000000000001,0.4689,578816.61,246676.189,0.0221,0.61,2.5529,973549.874,,,,,,,,,,,,
20110112,601398.SH,2.571,2.5952,2.565,2.5891,2.571,0.018100000000000005,0.704,584180.96,249964.211,0.0223,0.6,2.565,956014.124,,,,,,,,,,,,
20110113,601398.SH,2.5952,2.6254,2.5831,2.6193,2.5891,0.030199999999999783,1.1664,914221.51,394631.946,0.0349,0.96,2.5867,1023838.836,,,,,,,,,,,,
20110114,601398.SH,2.6073,2.6374,2.5952,2.6254,2.6193,0.006099999999999994,0.2329,735082.05,319137.945,0.028,0.72,2.5928,788201.118,,,,,,,,,,,,
20110117,601398.SH,2.6012,2.6133,2.5167,2.5529,2.6254,-0.07249999999999979,-2.7615,766309.58,323945.825,0.0292,0.97,2.5915,715722.142,2.571,835955.428,,,,,,,,,,
20110118,601398.SH,2.5409,2.571,2.5228,2.571,2.5529,0.018100000000000005,0.709,524658.25,221088.541,0.02,0.73,2.5915,704890.47,2.5722,839220.172,,,,,,,,,,
