trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20110104,000823.SZ,15.0949,15.2145,14.6163,15.1409,14.9936,0.14729999999999954,0.9824,107102.41,173918.0331,3.715,0.92,,,,,,,,,,,,,,
20110105,000823.SZ,15.0028,15.4999,14.9108,15.2237,15.1409,0.08279999999999887,0.5469,108409.44,179835.2592,3.7603,0.93,,,,,,,,,,,,,,
20110106,000823.SZ,15.2329,15.3342,14.8464,14.8924,15.2237,-0.3312999999999988,-2.1762,77738.21,126509.1668,2.6964,0.64,,,,,,,,,,,,,,
20110107,000823.SZ,14.8556,14.9568,14.4046,14.4966,14.8924,-0.3957999999999995,-2.6577,98663.62,157635.9702,3.4223,0.92,,,,,,,,,,,,,,
20110110,000823.SZ,14.423,14.6347,13.9259,14.064,14.4966,-0.43260000000000076,-2.9841,81263.93,125871.4579,2.8187,0.8,14.7635,94635.522,,,,,,,,,,,,
20110111,000823.SZ,13.9812,14.3401,13.9443,14.1929,14.064,0.1288999999999998,0.9165,48701.18,74691.5852,1.6893,0.51,14.5739,82955.276,,,,,,,,,,,,
20110112,000823.SZ,14.1745,14.3125,13.8799,14.1284,14.1929,-0.06450000000000067,-0.4545,45615.66,69747.8692,1.5822,0.55,14.3549,70396.52,,,,,,,,,,,,
20110113,000823.SZ,14.4046,14.469,14.1837,14.2021,14.1284,0.07370000000000054,0.5216,65887.62,102559.4442,2.2854,0.94,14.2168,68026.402,,,,,,,,,,,,
20110114,000823.SZ,14.0824,14.156,12.8859,13.2908,14.2021,-0.9112999999999989,-6.4167,210084.83,302253.6848,7.287,3.09,13.9756,90310.644,,,,,,,,,,,,
20110117,000823.SZ,12.9871,13.2908,12.4165,12.6374,13.2908,-0.6534000000000013,-4.9162,83702.04,116537.073,2.9033,0.93,13.6903,90798.266,14.2269,92716.894,,,,,,,,,,
20110118,000823.SZ,12.4993,12.8398,12.4257,12.6558,12.6374,0.01839999999999975,0.1456,44296.75,60933.6122,1.5365,0.49,13.3829,89917.38,13.9784,86436.328,,,,,,,,,,
20110119,000823.SZ,12.6189,13.1988,12.6189,13.1068,12.6558,0.4510000000000005,3.5636,81261.29,114348.9026,2.8186,0.9,13.1786,97046.506,13.7667,83721.513,,,,,,,,,,
20110120,000823.SZ,13.0147,13.0147,12.1955,12.4717,13.1068,-0.6350999999999996,-4.8456,81623.42,111583.1205,2.8312,0.84,12.8325,100193.666,13.5247,84110.034,13.8849,87257.7231,,,,,,,,
20110121,000823.SZ,12.3704,12.6834,12.1127,12.5361,12.4717,0.06439999999999912,0.5164,60269.11,81632.73,2.0905,0.6,12.6816,70230.522,13.3286,80270.583,13.6845,83655.1615,,,,,,,,
20110124,000823.SZ,12.5177,12.5269,11.7998,12.0299,12.5361,-0.5061999999999998,-4.0379,75926.42,100013.6807,2.6336,1.08,12.5601,68675.398,13.1252,79736.832,13.4388,81156.4677,,,,,,,,
20110125,000823.SZ,11.9654,12.1955,11.7537,11.9194,12.0299,-0.11050000000000004,-0.9185,51141.15,66331.4279,1.7739,0.74,12.4128,70044.278,12.8978,79980.829,13.2101,79110.54,,,,,,,,
