trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20110615,601567.SH,3.9801,3.9801,3.761,3.7669,3.9841,-0.21720000000000006,-5.4517,114089.93,220826.379,21.2854,,,,,,,,,,,,,,,
20110616,601567.SH,3.7928,3.8506,3.747,3.7888,3.7669,0.02190000000000003,0.5814,42625.61,81058.426,7.9525,,,,,,,,,,,,,,,
20110617,601567.SH,3.8048,3.8068,3.5857,3.5936,3.7888,-0.19520000000000026,-5.152,40618.89,74479.449,7.5782,,,,,,,,,,,,,,,
20110620,601567.SH,3.5498,3.5757,3.492,3.5219,3.5936,-0.07169999999999987,-1.9952,21764.48,38573.401,4.0605,,,,,,,,,,,,,,,
20110621,601567.SH,3.5319,3.5956,3.508,3.5757,3.5219,0.05379999999999985,1.5276,18383.74,32860.76,3.4298,,3.6494,47496.53,,,,,,,,,,,,
20110622,601567.SH,3.5657,3.5737,3.4661,3.4721,3.5757,-0.10359999999999969,-2.8973,17801.44,31622.703,3.3212,0.37,3.5904,28238.832,,,,,,,,,,,,
20110623,601567.SH,3.4641,3.6056,3.4243,3.5637,3.4721,0.09159999999999968,2.6382,24551.59,43696.466,4.5805,0.87,3.5454,24624.028,,,,,,,,,,,,
20110624,601567.SH,3.5418,3.6793,3.5299,3.6135,3.5637,0.04980000000000029,1.3974,34636.77,62953.274,6.4621,1.41,3.5494,23427.604,,,,,,,,,,,,
20110627,601567.SH,3.6135,3.7809,3.6135,3.7371,3.6135,0.12359999999999971,3.4205,37192.41,69340.824,6.9389,1.59,3.5924,26513.19,,,,,,,,,,,,
20110628,601567.SH,3.7092,3.739,3.6653,3.7032,3.7371,-0.03390000000000004,-0.9071,16984.83,31570.999,3.1688,0.64,3.6179,26233.408,3.6336,36864.969,,,,,,,,,,
20110629,601567.SH,3.6853,3.745,3.6255,3.6295,3.7032,-0.07369999999999965,-1.9902,15850.44,29375.18,2.9572,0.6,3.6494,25843.208,3.6199,27041.02,,,,,,,,,,
20110630,601567.SH,3.6295,3.6773,3.6116,3.6534,3.6295,0.02389999999999981,0.6585,12634.56,23145.317,2.3572,0.49,3.6673,23459.802,3.6064,24041.915,,,,,,,,,,
20110701,601567.SH,3.6633,3.745,3.6554,3.6992,3.6534,0.04579999999999984,1.2536,15735.64,29274.526,2.9358,0.67,3.6845,19679.576,3.6169,21553.59,3.6399,31759.2562,,,,,,,,
20110704,601567.SH,3.6912,3.761,3.6912,3.759,3.6992,0.059800000000000075,1.6166,26064.22,48786.808,4.8627,1.32,3.6889,17453.938,3.6406,21983.564,3.6393,24988.0477,,,,,,,,
20110705,601567.SH,3.7649,3.7669,3.7092,3.7311,3.759,-0.027899999999999814,-0.7422,14924.22,27962.891,2.7844,0.86,3.6944,17041.816,3.6562,21637.612,3.6348,22857.1715,,,,,,,,
20110706,601567.SH,3.7291,3.8486,3.6733,3.8327,3.7311,0.10159999999999991,2.7231,42501.59,80688.141,7.9294,2.49,3.7351,22372.046,3.6922,24107.627,3.6532,23001.9946,,,,,,,,
20110707,601567.SH,3.8247,3.9562,3.7689,3.8446,3.8327,0.0118999999999998,0.3105,47437.58,92038.56,8.8503,2.12,3.7733,29332.65,3.7203,26396.226,3.6781,24976.8485,,,,,,,,
20110708,601567.SH,3.8247,3.9024,3.8048,3.8785,3.8446,0.03390000000000004,0.8818,27038.22,52380.555,5.0444,0.92,3.8092,31593.166,3.7468,25636.371,3.7014,25642.5777,,,,,,,,
20110711,601567.SH,3.8845,3.9263,3.8347,3.8964,3.8785,0.017900000000000027,0.4615,21379.38,41659.328,3.9887,0.68,3.8367,30656.198,3.7628,24055.068,3.734,25917.8038,,,,,,,,
20110712,601567.SH,3.8645,3.8665,3.8008,3.8127,3.8964,-0.08369999999999989,-2.1481,22651.78,43440.501,4.2261,0.74,3.853,32201.71,3.7737,24621.763,3.7531,25771.6646,,,,,,,,
20110713,601567.SH,3.8127,3.9223,3.8048,3.9104,3.8127,0.09770000000000012,2.5625,25413.18,49486.453,4.7413,0.79,3.8685,28784.028,3.8018,25578.037,3.776,25062.1577,3.7135,30489.5476,,,,,,
20110714,601567.SH,3.9243,4.1135,3.8944,4.0896,3.9104,0.1791999999999998,4.5827,119936.08,243205.783,22.3761,4.17,3.9175,43283.728,3.8454,36308.189,3.8031,31427.0554,3.7289,30767.9357,,,,,,
20110718,601567.SH,4.1076,4.1494,4.0458,4.0558,4.0896,-0.033800000000000274,-0.8265,63384.12,129831.709,11.8254,1.46,3.953,50552.908,3.8811,41073.037,3.8302,34996.2315,3.7416,31756.4362,,,,,,
20110719,601567.SH,4.0339,4.2231,3.9681,4.1633,4.0558,0.10749999999999993,2.6505,66557.88,136829.556,12.4175,1.32,4.0064,59588.608,3.9215,45122.403,3.8713,38896.8038,3.7687,32991.6262,,,,,,
20110720,601567.SH,4.1673,4.2092,4.0438,4.1036,4.1633,-0.05969999999999942,-1.434,50059.57,103674.112,9.3395,0.84,4.0645,65070.166,3.9588,48635.938,3.9059,41775.6508,3.7964,34339.0114,,,,,,
20110721,601567.SH,4.0757,4.1633,4.0259,4.0558,4.1036,-0.04780000000000051,-1.1648,45601.7,93971.52,8.5078,0.7,4.0936,69107.87,3.9811,48945.949,3.9333,44073.04,3.8193,35635.1048,,,,,,
20110722,601567.SH,4.0737,4.1016,4.0438,4.0757,4.0558,0.019900000000000695,0.4907,26548.97,54209.549,4.9532,0.38,4.0908,50430.448,4.0042,46857.088,3.9577,44110.3285,3.848,36051.6538,,,,,,
20110725,601567.SH,4.0618,4.1594,3.9283,3.9422,4.0757,-0.13350000000000017,-3.2755,40598.09,82626.447,7.5743,0.81,4.0681,45873.242,4.0105,48213.075,3.9739,46085.2415,3.8661,36815.7729,,,,,,
20110726,601567.SH,3.9143,3.9622,3.747,3.8367,3.9422,-0.10550000000000015,-2.6762,28802.07,55384.635,5.3735,0.63,4.0028,38322.08,4.0046,48955.344,3.9743,45031.4323,3.8767,36537.93,,,,,,
20110727,601567.SH,3.7968,3.996,3.7251,3.9522,3.8367,0.11549999999999994,3.0104,34114.16,66618.361,6.3646,0.89,3.9725,35132.998,4.0185,50101.582,3.9825,44006.5538,3.8869,36391.3467,3.8086,37196.1047,,,,
20110728,601567.SH,3.8845,3.9363,3.8645,3.9163,3.9522,-0.03589999999999982,-0.9084,22463.75,43868.871,4.191,0.64,3.9446,30505.408,4.0191,49806.639,3.9854,43654.6715,3.8971,36652.2476,3.8136,34141.8987,,,,
20110729,601567.SH,3.9243,4.0,3.8944,3.8984,3.9163,-0.017900000000000027,-0.4571,24953.95,49463.565,4.6556,0.82,3.9092,30186.404,4.0,40308.426,3.9856,43929.6385,3.9099,37085.7481,3.8173,33552.8433,,,,
20110801,601567.SH,3.8446,4.0139,3.8426,3.9781,3.8984,0.07969999999999988,2.0444,25220.06,49804.897,4.7052,0.84,3.9163,27110.798,3.9922,36492.02,3.9983,44127.1985,3.9253,37685.0576,3.8301,33039.549,,,,
20110802,601567.SH,3.9442,3.9602,3.8446,3.9243,3.9781,-0.05379999999999985,-1.3524,17732.59,34686.81,3.3083,0.65,3.9339,24896.902,3.9683,31609.491,3.9994,43536.3838,3.9361,37780.1505,3.8435,32905.1527,,,,
20110803,601567.SH,3.8645,3.9382,3.8426,3.8486,3.9243,-0.07570000000000032,-1.929,18629.1,36316.816,3.4756,0.75,3.9131,21799.89,3.9428,28466.444,3.9808,35743.5392,3.9403,37426.0971,3.8526,32913.3313,,,,
20110804,601567.SH,3.8446,3.9024,3.8207,3.8765,3.8486,0.027900000000000258,0.7249,16698.83,32382.112,3.1155,0.77,3.9052,20646.906,3.9249,25576.157,3.9671,32152.3631,3.9473,37510.6024,3.8661,32876.5777,,,,
20110805,601567.SH,3.7032,3.8207,3.6972,3.747,3.8765,-0.12950000000000017,-3.3406,18846.91,35691.311,3.5162,0.91,3.8749,19425.498,3.892,24805.951,3.935,28482.2885,3.9432,36384.189,3.8722,32686.4217,,,,
20110808,601567.SH,3.7072,3.747,3.4861,3.5378,3.747,-0.20920000000000005,-5.5831,21798.62,39676.219,4.0669,1.12,3.7868,18741.21,3.8516,22926.004,3.8915,26308.3692,3.9286,35163.2862,3.8697,32258.4833,,,,
20110809,601567.SH,3.4163,3.5857,3.3924,3.5299,3.5378,-0.007899999999999796,-0.2233,16613.54,29138.785,3.0995,0.89,3.708,18517.4,3.8209,21707.151,3.8511,24078.5108,3.912,34666.8729,3.8628,31572.521,,,,
20110810,601567.SH,3.6355,3.6633,3.5498,3.5637,3.5299,0.03379999999999983,0.9575,17095.38,31049.622,3.1894,0.92,3.651,18210.656,3.7821,20005.273,3.8117,23351.3115,3.8961,34462.8729,3.8581,31576.206,,,,
20110811,601567.SH,3.4821,3.6534,3.4661,3.6434,3.5637,0.07970000000000033,2.2364,15154.06,27367.893,2.8273,0.83,3.6044,17901.702,3.7548,19274.304,3.7887,21394.0785,3.8881,34105.8386,3.8586,31552.9933,,,,
20110812,601567.SH,3.6653,3.7151,3.6434,3.6833,3.6434,0.039899999999999824,1.0951,21167.51,39082.203,3.9492,1.18,3.5916,18365.822,3.7333,18895.66,3.7769,20806.8046,3.8772,33903.6638,3.8596,31837.425,,,,
