index,ts_code,symbol,name,area,industry,fullname,market,exchange,list_date,is_hs
0,000001.SZ,000001,平安银行,深圳,银行,平安银行股份有限公司,主板,SZSE,19910403,S
1,000002.SZ,000002,万科A,深圳,全国地产,万科企业股份有限公司,主板,SZSE,19910129,S
2,000004.SZ,000004,国华网安,深圳,互联网,深圳国华网安科技股份有限公司,主板,SZSE,19910114,N
3,000005.SZ,000005,世纪星源,深圳,环境保护,深圳世纪星源股份有限公司,主板,SZSE,19901210,N
4,000006.SZ,000006,深振业A,深圳,区域地产,深圳市振业(集团)股份有限公司,主板,SZSE,19920427,S
5,000007.SZ,000007,全新好,深圳,酒店餐饮,深圳市全新好股份有限公司,主板,SZSE,19920413,N
6,000008.SZ,000008,神州高铁,北京,运输设备,神州高铁技术股份有限公司,主板,SZSE,19920507,S
7,000009.SZ,000009,中国宝安,深圳,综合类,中国宝安集团股份有限公司,主板,SZSE,19910625,S
8,000010.SZ,000010,美丽生态,深圳,建筑工程,深圳美丽生态股份有限公司,主板,SZSE,19951027,N
9,000011.SZ,000011,深物业A,深圳,区域地产,深圳市物业发展(集团)股份有限公司,主板,SZSE,19920330,N
10,000012.SZ,000012,南玻A,深圳,玻璃,中国南玻集团股份有限公司,主板,SZSE,19920228,S
11,000014.SZ,000014,沙河股份,深圳,全国地产,沙河实业股份有限公司,主板,SZSE,19920602,N
12,000016.SZ,000016,深康佳A,深圳,家用电器,康佳集团股份有限公司,主板,SZSE,19920327,S
13,000017.SZ,000017,*ST中华A,深圳,文教休闲,深圳中华自行车(集团)股份有限公司,主板,SZSE,19920331,N
14,000019.SZ,000019,深粮控股,深圳,其他商业,深圳市深粮控股股份有限公司,主板,SZSE,19921012,S
15,000020.SZ,000020,深华发A,深圳,元器件,深圳中恒华发股份有限公司,主板,SZSE,19920428,N
16,000021.SZ,000021,深科技,深圳,IT设备,深圳长城开发科技股份有限公司,主板,SZSE,19940202,S
17,000023.SZ,000023,深天地A,深圳,其他建材,深圳市天地(集团)股份有限公司,主板,SZSE,19930429,N
18,000025.SZ,000025,特力A,深圳,汽车服务,深圳市特力(集团)股份有限公司,主板,SZSE,19930621,S
19,000026.SZ,000026,飞亚达,深圳,其他商业,飞亚达精密科技股份有限公司,主板,SZSE,19930603,N
20,000027.SZ,000027,深圳能源,深圳,火力发电,深圳能源集团股份有限公司,主板,SZSE,19930903,S
21,000028.SZ,000028,国药一致,深圳,医药商业,国药集团一致药业股份有限公司,主板,SZSE,19930809,S
22,000029.SZ,000029,深深房A,深圳,区域地产,深圳经济特区房地产(集团)股份有限公司,主板,SZSE,19930915,S
23,000030.SZ,000030,富奥股份,吉林,汽车配件,富奥汽车零部件股份有限公司,主板,SZSE,19930929,S
24,000031.SZ,000031,大悦城,深圳,全国地产,大悦城控股集团股份有限公司,主板,SZSE,19931008,S
25,000032.SZ,000032,深桑达A,深圳,元器件,深圳市桑达实业股份有限公司,主板,SZSE,19931028,S
26,000034.SZ,000034,神州数码,深圳,综合类,神州数码集团股份有限公司,主板,SZSE,19940509,S
27,000035.SZ,000035,中国天楹,江苏,环境保护,中国天楹股份有限公司,主板,SZSE,19940408,S
28,000036.SZ,000036,华联控股,深圳,全国地产,华联控股股份有限公司,主板,SZSE,19940617,N
